Police_Precinct,CrimeNumber,norm,grade
1,1148.0,60.94759511844939,9.142139267767408
5,831.0,72.3259152907394,10.84888729361091
6,1254.0,57.14285714285714,8.571428571428571
7,744.0,75.448671931084,11.317300789662598
9,1139.0,61.270638908829866,9.19059583632448
10,851.0,71.60804020100502,10.741206030150753
13,1467.0,49.497487437185924,7.424623115577888
14,2224.0,22.325915290739413,3.348887293610912
17,873.0,70.8183776022972,10.62275664034458
18,2008.0,30.078966259870782,4.511844938980617
19,1663.0,42.462311557788944,6.369346733668341
20,828.0,72.43359655419957,10.865039483129936
22,60.0,100.0,15.0
23,796.0,73.58219669777458,11.037329504666186
24,943.0,68.30581478822685,10.245872218234028
25,991.0,66.58291457286433,9.987437185929648
26,525.0,83.30940416367551,12.496410624551325
28,826.0,72.50538406317301,10.87580760947595
30,605.0,80.43790380473797,12.065685570710695
32,829.0,72.39770279971285,10.859655419956926
33,598.0,80.68916008614501,12.103374012921751
34,1217.0,58.47092605886576,8.770638908829863
40,2139.0,25.376884422110553,3.806532663316583
41,1065.0,63.92677674084709,9.589016511127063
42,1243.0,57.537688442211056,8.630653266331658
43,1789.0,37.93969849246231,5.690954773869347
44,1851.0,35.714285714285715,5.357142857142857
45,936.0,68.55707106963388,10.283560660445081
46,1565.0,45.97989949748744,6.896984924623116
47,2158.0,24.694903086862887,3.7042354630294327
48,1336.0,54.19956927494616,8.129935391241924
49,1103.0,62.562814070351756,9.384422110552762
50,860.0,71.28499641062454,10.692749461593682
52,1560.0,46.15936826992104,6.923905240488156
60,782.0,74.08470926058865,11.112706389088297
61,1094.0,62.88585786073223,9.432878679109834
62,962.0,67.62383345297917,10.143575017946874
63,843.0,71.89519023689877,10.784278535534815
66,786.0,73.94113424264178,11.091170136396267
67,1753.0,39.23187365398421,5.884781048097631
68,741.0,75.55635319454414,11.33345297918162
69,729.0,75.98707824838478,11.398061737257716
70,1133.0,61.48600143575018,9.222900215362527
71,1100.0,62.670495333811914,9.400574300071787
72,932.0,68.70064608758076,10.305096913137115
73,1400.0,51.90236898779612,7.785355348169418
75,2846.0,-0.0,-0.0
76,416.0,87.22182340272792,13.083273510409187
77,1012.0,65.82914572864321,9.874371859296481
78,764.0,74.7307968413496,11.20961952620244
79,1307.0,55.240488155061016,8.286073223259152
81,998.0,66.33165829145729,9.949748743718592
83,1312.0,55.06101938262742,8.259152907394112
84,955.0,67.87508973438622,10.181263460157933
88,678.0,77.81765972720747,11.67264895908112
90,1375.0,52.79971284996411,7.919956927494616
94,671.0,78.0689160086145,11.710337401292174
97,1307.0,55.240488155061016,8.286073223259152
100,417.0,87.1859296482412,13.07788944723618
101,706.0,76.81263460157932,11.521895190236897
102,811.0,73.0437903804738,10.95656855707107
103,1348.0,53.768844221105525,8.065326633165828
104,1128.0,61.665470208183784,9.249820531227567
105,1477.0,49.138549892318736,7.37078248384781
106,1089.0,63.06532663316583,9.459798994974875
107,960.0,67.69562096195261,10.154343144292891
108,856.0,71.42857142857143,10.714285714285714
109,1532.0,47.164393395549176,7.074659009332376
110,1248.0,57.358219669777455,8.603732950466618
111,615.0,80.07896625987078,12.011844938980618
112,535.0,82.95046661880832,12.442569992821248
113,1105.0,62.49102656137831,9.373653984206747
114,1365.0,53.1586503948313,7.973797559224694
115,1612.0,44.29289303661163,6.643933955491744
120,926.0,68.91600861450108,10.337401292175162
121,736.0,75.73582196697774,11.36037329504666
122,508.0,83.91959798994975,12.587939698492463
123,228.0,93.96984924623115,14.095477386934672
